City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,sarankhola,22.3082,89.7897,18.66,66,0,2.24,BD,1676470364
131,ribeira grande,38.5167,-28.7,16.22,67,75,6.69,PT,1676470365
132,hailun,47.45,126.9333,-19.23,95,100,3.32,CN,1676470367
133,acajutla,13.5928,-89.8275,26.73,58,2,1.32,SV,1676470368
134,asau,46.4333,26.4,5.51,67,11,0.48,RO,1676470369
135,tilichiki,60.4667,166.1,-23.2,84,100,5.37,RU,1676470370
136,inverness,57.4791,-4.224,9.95,70,20,9.26,GB,1676470371
137,harper,4.375,-7.7169,29.39,69,25,2.3,LR,1676470372
138,bonthe,7.5264,-12.505,30.26,63,72,5.37,SL,1676470372
139,antofagasta,-23.65,-70.4,22.6,65,9,2.3,CL,1676470367
140,nanortalik,60.1432,-45.2371,-9.85,65,0,6.29,GL,1676470374
141,ndola,-12.9587,28.6366,23.0,86,92,2.97,ZM,1676470375
142,codrington,-38.2667,141.9667,18.42,49,100,3.39,AU,1676470375
143,olafsvik,64.8945,-23.7142,2.9,60,90,13.01,IS,1676470376
144,roald,62.5833,6.1333,11.51,66,75,5.14,NO,1676470378
145,coquimbo,-29.9533,-71.3436,18.85,77,75,6.17,CL,1676470367
146,yulara,-25.2406,130.9889,32.27,24,98,1.98,AU,1676470379
147,antalaha,-14.9003,50.2788,26.4,84,13,4.5,MG,1676470380
148,chuy,-33.6971,-53.4616,24.62,49,0,4.65,UY,1676470381
149,san cristobal,7.7669,-72.225,20.1,58,39,1.69,VE,1676470382
150,fortuna,40.5982,-124.1573,-1.49,96,0,4.12,US,1676470383
151,sibolga,1.7427,98.7792,25.25,87,98,1.46,ID,1676470385
152,klamath falls,42.2249,-121.7817,-7.29,84,0,1.54,US,1676469945
153,port blair,11.6667,92.75,24.91,71,0,3.94,IN,1676470386
154,bengkulu,-3.8004,102.2655,25.38,85,95,1.24,ID,1676470387
155,plopii slavitesti,43.9667,24.6833,8.35,57,6,3.32,RO,1676470388
156,high rock,26.6208,-78.2833,23.01,65,0,8.18,BS,1676470390
157,alofi,-19.0595,-169.9187,24.65,87,100,4.22,NU,1676470391
158,thompson,55.7435,-97.8558,-27.82,96,100,1.97,CA,1676470392
159,fare,-16.7,-151.0167,27.31,75,8,4.6,PF,1676470393
160,ust-shonosha,61.1531,41.343,-13.28,99,85,1.32,RU,1676470394
161,poya,-21.35,165.15,23.01,85,86,2.44,NC,1676470396
162,bulawayo,-20.15,28.5833,24.04,68,100,3.3,ZW,1676470397
163,makokou,0.5738,12.8642,31.44,42,100,2.55,GA,1676470397
164,chokurdakh,70.6333,147.9167,-44.56,100,75,0.94,RU,1676470398
